,GradeID,Created,Updated,ContactID,CourseID,CourseName,Score
0,675680,6/2/2020 10:28:30 AM,6/2/2020 10:28:30 AM,8796,1407,Neuromuscular Massage_800,98.0
1,675682,6/2/2020 10:29:44 AM,6/2/2020 10:29:44 AM,8347,1407,Neuromuscular Massage_800,93.0
2,675683,6/2/2020 11:17:01 AM,6/2/2020 11:17:01 AM,8955,1407,Neuromuscular Massage_800,93.0
3,675684,6/2/2020 11:17:28 AM,6/2/2020 11:17:28 AM,8934,1407,Neuromuscular Massage_800,76.0
4,675685,6/2/2020 11:17:54 AM,6/2/2020 11:17:54 AM,8932,1407,Neuromuscular Massage_800,94.0
5,675686,6/2/2020 1:05:44 PM,9/15/2020 4:25:07 PM,8933,1407,Neuromuscular Massage_800,84.0
6,675690,6/2/2020 1:11:48 PM,9/15/2020 4:38:46 PM,8897,1407,Neuromuscular Massage_800,95.0
7,675692,6/2/2020 1:18:31 PM,9/15/2020 4:50:58 PM,8988,1407,Neuromuscular Massage_800,86.0
8,675693,6/2/2020 1:19:18 PM,9/15/2020 4:44:33 PM,8910,1407,Neuromuscular Massage_800,93.0
9,675694,6/2/2020 1:20:11 PM,9/15/2020 4:33:04 PM,8931,1407,Neuromuscular Massage_800,81.0
13,675700,6/2/2020 1:31:17 PM,8/13/2020 10:46:24 AM,8638,1420,Oncology Massage,100.0
14,675701,6/2/2020 3:06:24 PM,6/2/2020 3:06:24 PM,8824,1407,Neuromuscular Massage_800,94.0
15,675702,6/2/2020 3:07:07 PM,6/2/2020 3:07:07 PM,8699,1407,Neuromuscular Massage_800,79.0
16,675703,6/5/2020 12:52:31 PM,8/13/2020 4:46:44 PM,8490,1295,Business Practices,84.0
17,675704,6/5/2020 12:57:37 PM,9/15/2020 5:22:11 PM,8903,1407,Neuromuscular Massage_800,95.0
18,675705,6/5/2020 12:58:24 PM,9/15/2020 5:03:27 PM,8661,1407,Neuromuscular Massage_800,99.0
19,675707,6/5/2020 1:00:59 PM,9/15/2020 5:05:57 PM,8885,1407,Neuromuscular Massage_800,100.0
20,675708,6/8/2020 3:01:23 PM,6/8/2020 3:01:23 PM,2637,1274,Anatomy & Physiology 1A_750v2,99.0
21,675709,6/8/2020 3:02:32 PM,6/8/2020 3:02:32 PM,9071,1274,Anatomy & Physiology 1A_750v2,99.0
22,675710,6/8/2020 3:03:29 PM,6/8/2020 3:04:37 PM,9071,1289,Basic Swedish Massage A_750v2,95.0
23,675711,6/8/2020 3:05:37 PM,6/8/2020 3:05:37 PM,9071,1369,Interpersonal Communications_750v2,100.0
24,675712,6/9/2020 2:03:51 PM,8/13/2020 12:40:47 PM,8584,1420,Oncology Massage,96.0
25,675713,6/11/2020 10:37:21 PM,6/11/2020 10:37:21 PM,9032,1720,Anatomy & Physiology 1B_750v2,95.0
26,675714,6/12/2020 5:01:15 PM,6/12/2020 5:01:15 PM,8868,1357,Hydrotherapy_750v2,73.0
27,675715,6/12/2020 5:01:52 PM,6/12/2020 5:01:52 PM,8907,1357,Hydrotherapy_750v2,95.0
28,675716,6/12/2020 5:02:27 PM,6/12/2020 5:02:27 PM,8898,1357,Hydrotherapy_750v2,95.0
29,675717,6/14/2020 9:05:14 PM,6/14/2020 9:05:14 PM,9102,1289,Basic Swedish Massage A_750v2,100.0
30,675718,6/14/2020 9:08:11 PM,6/14/2020 9:08:11 PM,9087,1289,Basic Swedish Massage A_750v2,100.0
31,675719,6/14/2020 9:08:29 PM,6/14/2020 9:08:29 PM,9021,1289,Basic Swedish Massage A_750v2,100.0
32,675720,6/14/2020 9:08:43 PM,6/14/2020 9:08:43 PM,9047,1289,Basic Swedish Massage A_750v2,100.0
33,675721,6/14/2020 11:55:31 PM,6/14/2020 11:55:31 PM,8418,1395,Medical Massage,73.0
34,675722,6/14/2020 11:59:23 PM,6/14/2020 11:59:23 PM,8435,1395,Medical Massage,92.0
35,675723,6/15/2020 12:00:10 AM,6/15/2020 12:00:10 AM,8429,1395,Medical Massage,94.0
36,675724,6/15/2020 12:00:54 AM,6/15/2020 12:00:54 AM,8386,1395,Medical Massage,84.0
37,675725,6/15/2020 12:01:25 AM,6/15/2020 12:01:25 AM,8584,1395,Medical Massage,93.0
38,675726,6/15/2020 12:02:05 AM,6/15/2020 12:02:05 AM,8638,1395,Medical Massage,95.0
39,675727,6/15/2020 11:56:16 AM,6/15/2020 11:56:41 AM,8204,1274,Anatomy & Physiology 1A_750v2,80.0
40,675728,6/15/2020 11:56:29 AM,6/15/2020 11:56:55 AM,8204,1289,Basic Swedish Massage A_750v2,90.0
41,675729,6/15/2020 11:57:33 AM,6/15/2020 11:57:33 AM,8204,1369,Interpersonal Communications_750v2,100.0
42,675730,6/15/2020 11:58:04 AM,6/15/2020 12:10:23 PM,8204,1277,Anatomy & Physiology 1B,71.0
43,675731,6/15/2020 12:02:59 PM,6/15/2020 12:10:41 PM,8204,1286,Basic Swedish B,83.0
44,675732,6/15/2020 12:04:30 PM,6/15/2020 12:11:23 PM,8204,1443,Self-Care,96.0
45,675733,6/15/2020 12:05:06 PM,6/15/2020 12:11:44 PM,8204,1385,Kinetic Anatomy_750v2,91.0
46,675734,6/15/2020 12:05:25 PM,6/15/2020 12:12:16 PM,8204,1280,Anatomy & Physiology 2_750v2,81.0
47,675735,6/15/2020 12:06:17 PM,6/15/2020 12:12:38 PM,8204,1357,Hydrotherapy_750v2,100.0
48,675736,6/15/2020 12:06:37 PM,6/15/2020 12:12:55 PM,8204,1435,Reflexology_750v2,83.0
49,675737,6/15/2020 12:07:01 PM,6/15/2020 12:13:35 PM,8204,1262,Advanced Massage Techniques_750v2,70.0
50,675738,6/15/2020 12:07:19 PM,6/15/2020 12:14:05 PM,8204,1421,Pathology_750v2,86.0
51,675739,6/15/2020 12:14:44 PM,6/15/2020 12:14:44 PM,8204,1337,Eastern Movement Therapies_750v2,100.0
52,675740,6/15/2020 12:15:18 PM,6/15/2020 12:15:18 PM,8204,1407,Neuromuscular Massage_800,89.0
53,675741,6/15/2020 12:15:57 PM,6/15/2020 12:16:58 PM,8204,1429,Professional Development,95.0
54,675742,6/15/2020 12:17:32 PM,6/15/2020 12:17:32 PM,8204,1458,Sports Massage_800,96.0
55,675743,6/15/2020 12:17:59 PM,6/15/2020 12:17:59 PM,8204,1344,Ethics & Professionalism_800,100.0
56,675744,6/15/2020 12:18:25 PM,6/15/2020 12:18:25 PM,8204,1465,Wellness & Nutrition_800,86.0
57,675745,6/15/2020 12:18:49 PM,6/15/2020 12:18:49 PM,8204,1382,Joint & Stretch_800,97.0
58,675746,6/15/2020 12:40:34 PM,6/15/2020 12:51:24 PM,8204,1295,Business Practices,90.0
