,ContactID,Created,Updated,Location,Campaign,SubFaculty,ProgramType,Status,StartDate,EndDate,LDA,TerminationDate,Gender,BirthDate,EducationLevel,Postal,PrimaryFunder,NetRevenue,EntranceExam,Period
0,8966,11/25/2019 1:42:00 PM,1/9/2022 3:32:16 PM,Kansas City, N.A. -  N.A.,Massage Therapy,Certificate,1.2w Withdrawn,2/18/2020 12:00:00 AM,1/1/1900 12:00:00 AM,3/3/2020 12:00:00 AM,5/13/2020 12:00:00 AM,Female,9/1/1991 12:00:00 AM, N.A.,64134,Direct Subsidized Stafford Loan (Federal),2300.0,20.0,Day
1,8642,4/23/2019 1:53:56 PM,9/23/2020 9:32:46 AM,Kansas City,FaceBook - FaceBook,Massage Therapy,Certificate,1.4 Complete,7/9/2019 12:00:00 AM,9/18/2020 12:00:00 AM,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,Female,2/10/1995 12:00:00 AM, N.A.,66104,Wellspring Loan Over 12 Months (School),16132.92,22.0,Day
2,8284,8/28/2018 1:28:40 PM,7/29/2020 1:15:06 PM,Kansas City,Book a Tour (Online) - Book a Tour (Online),Massage Therapy,Certificate,1.4 Complete,1/8/2019 12:00:00 AM,11/26/2019 12:00:00 AM,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,Female,7/2/1982 12:00:00 AM, N.A.,66030,Wellspring Loan Over 12 Months (School),15523.4,19.0,Day
3,8594,4/17/2019 3:34:20 PM,3/22/2021 6:37:01 PM,Kansas City,Virtual Advisor - Career Training Readiness,Massage Therapy,Certificate,1.4 Complete,5/20/2019 12:00:00 AM,6/12/2020 12:00:00 AM,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,Female,8/28/1996 12:00:00 AM, N.A.,64075,Wellspring Loan Over 12 Months (School),16447.08,23.0,Day
4,8550,10/25/2018 5:04:34 PM,9/23/2020 9:29:23 AM,Kansas City,Virtual Advisor - Career Training Readiness,Massage Therapy,Certificate,1.4 Complete,5/20/2019 12:00:00 AM,6/27/2020 12:00:00 AM,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,Female,2/1/1969 12:00:00 AM, N.A.,66062, N.A.,15236.0,21.0,Day
5,8904,10/16/2019 2:36:27 PM,5/20/2021 9:22:19 AM,Kansas City,Virtual Advisor - Career Training Readiness,Massage Therapy,Certificate,1.4 Complete,1/6/2020 12:00:00 AM,4/27/2021 12:00:00 AM,4/27/2021 12:00:00 AM,1/1/1900 12:00:00 AM,Female,2/2/2000 12:00:00 AM, N.A.,65301,Wellspring Loan Under 12 Months (School),16756.0,19.0,Day
6,9078,3/5/2020 12:55:42 PM,6/30/2021 4:42:21 PM,Kansas City,Virtual Advisor - Career Training Readiness,Massage Therapy,Certificate,1.4 Complete,4/13/2020 12:00:00 AM,6/29/2021 12:00:00 AM,6/29/2021 12:00:00 AM,1/1/1900 12:00:00 AM,Male,9/20/1977 12:00:00 AM, N.A.,64105,Wellspring Loan Over 12 Months (School),15174.4,23.0,Day
7,7463,6/13/2016 8:42:29 AM,3/22/2021 6:26:08 PM,Kansas City,Virtual Advisor - Career Training Readiness,Massage Therapy,Certificate,1.4 Complete,2/4/2019 12:00:00 AM,1/8/2020 12:00:00 AM,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,Female,6/20/1988 12:00:00 AM, N.A.,64506,Wellspring Loan Over 12 Months (School),15514.57,23.0,Day
8,8493,2/11/2019 4:26:21 PM,8/25/2022 5:15:30 PM,Kansas City,Virtual Advisor - Career Training Readiness,Massage Therapy,Certificate,1.4 Complete,3/26/2019 12:00:00 AM,2/28/2020 12:00:00 AM,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,Female,1/4/1971 12:00:00 AM, N.A.,66204,Wellspring Loan Under 12 Months (School),14261.0,22.0,Day
9,8433,9/20/2018 3:46:01 PM,12/18/2020 10:56:06 AM,Kansas City,Virtual Advisor - Career Training Readiness,Massage Therapy,Certificate,1.4 Complete,5/20/2019 12:00:00 AM,12/17/2020 12:00:00 AM,8/1/2020 12:00:00 AM,1/1/1900 12:00:00 AM,Female,9/25/1993 12:00:00 AM, N.A.,64507,Wellspring Loan Under 12 Months (School),14631.0,16.0,Day
10,8692,6/20/2019 9:51:42 AM,8/6/2020 5:38:28 PM,Kansas City,Virtual Advisor - Career Training Readiness,Massage Therapy,Certificate,1.2w Withdrawn,9/4/2019 12:00:00 AM,1/1/1900 12:00:00 AM,4/6/2020 12:00:00 AM,4/6/2020 12:00:00 AM,Male,7/1/1986 12:00:00 AM, N.A.,64152, N.A.,9419.0,29.0,Day
11,8849,9/25/2019 3:03:10 PM,9/27/2021 6:26:54 PM,Kansas City,Virtual Advisor - Career Training Readiness,Massage Therapy,Certificate,1.2w Withdrawn,10/22/2019 12:00:00 AM,2/6/2021 12:00:00 AM,12/17/2020 12:00:00 AM,2/6/2021 12:00:00 AM,Male,5/4/1990 12:00:00 AM, N.A.,65046,Direct Unsubsidized Stafford Loan (Federal),3450.0,27.0,Day
12,8379,10/22/2018 2:47:00 PM,9/17/2020 3:38:46 PM,Kansas City,Google/PPC - Google/PPC,Massage Therapy,Certificate,1.4 Complete,2/4/2019 12:00:00 AM,1/9/2020 12:00:00 AM,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,Male,1/31/1992 12:00:00 AM, N.A.,64068, N.A.,16761.0,20.0,Day
13,8344,9/27/2018 12:50:00 AM,8/23/2022 9:40:27 AM,Kansas City,Google/PPC - Google/PPC,Massage Therapy,Certificate,1.4 Complete,3/26/2019 12:00:00 AM,2/28/2020 12:00:00 AM,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,Female,5/2/1991 12:00:00 AM, N.A.,66220,Wellspring Loan Over 12 Months (School),16485.56,23.0,Day
14,8375,9/6/2018 10:56:00 AM,7/21/2020 12:38:49 PM,Kansas City,Google/PPC - Google/PPC,Massage Therapy,Certificate,1.4 Complete,2/4/2019 12:00:00 AM,1/9/2020 12:00:00 AM,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,Female,12/18/1993 12:00:00 AM, N.A.,64030,Wellspring Loan Over 12 Months (School),13892.52,19.0,Day
15,8509,12/21/2018 9:32:00 AM,9/24/2020 3:18:20 PM,Kansas City,Google/PPC - Google/PPC,Massage Therapy,Certificate,1.4 Complete,3/26/2019 12:00:00 AM,9/10/2020 12:00:00 AM,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,Female,9/1/1999 12:00:00 AM, N.A.,64117,Wellspring Loan Under 12 Months (School),15657.0,20.0,Day
16,8448,1/3/2019 1:51:33 PM,3/22/2021 6:30:20 PM,Kansas City,Google/PPC - Google/PPC,Massage Therapy,Certificate,1.4 Complete,2/4/2019 12:00:00 AM,7/29/2020 12:00:00 AM,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,Female,2/17/1988 12:00:00 AM, N.A.,66053,Wellspring Loan Under 12 Months (School),16156.0,21.0,Day
